gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
9144,DR6825,,CRI1997,,CRI,DR6825CRI,,1997,00000000,00000000,,00000000,0
9124,DR2409,,CRI1985,,CRI,DR2409CRI,,1985,00000000,00000000,,00000000,0
9125,DR2009,,CRI1984,,CRI,DR2009CRI,,1984,00000000,00000000,,00000000,0
9126,DR2016,,CRI1984,,CRI,DR2016CRI,,1984,00000000,00000000,,00000000,0
9145,DR6234,,CRI1995,,CRI,DR6234CRI,,1995,00000000,00000000,,00000000,0
9146,DR5869,,CRI1994,,CRI,DR5869CRI,,1994,00000000,00000000,,00000000,0
9147,DR2409,,CRI1985,,CRI,DR2409CRI,,1985,00000000,00000000,,00000000,0
9127,DR1004,,CRI1982,,CRI,DR1004CRI,,1982,00000000,00000000,,00000000,0
9128,DR7496,,CRI1999,,CRI,DR7496CRI,,1999,00000000,00000000,,00000000,0
9129,DR7156,,CRI1998,,CRI,DR7156CRI,,1998,00000000,00000000,,00000000,0
9130,DR6825,,CRI1997,,CRI,DR6825CRI,,1997,00000000,00000000,,00000000,0
9131,DR6234,,CRI1995,,CRI,DR6234CRI,,1995,00000000,00000000,,00000000,0
9132,DR5869,,CRI1994,,CRI,DR5869CRI,,1994,00000000,00000000,,00000000,0
9133,DR2409,,CRI1985,,CRI,DR2409CRI,,1985,00000000,00000000,,00000000,0
9134,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9135,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9136,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9137,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9138,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9139,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9140,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9141,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9152,DR5869,,CRI1994,,CRI,DR5869CRI,,1994,00000000,00000000,,00000000,0
9153,DR2409,,CRI1985,,CRI,DR2409CRI,,1985,00000000,00000000,,00000000,0
9154,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9155,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9156,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9157,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9158,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9159,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9160,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9161,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9162,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9163,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9164,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9165,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9166,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9167,DR3650,,CRI1988,,CRI,DR3650CRI,,1988,00000000,00000000,,00000000,0
9168,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9169,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9170,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9171,DR7123,,CUB1998,,CUB,DR7123CUB,,1998,00000000,00000000,,00000000,0
9172,DR7126,,CUB1998,,CUB,DR7126CUB,,1998,00000000,00000000,,00000000,0
9173,DR7128,,CUB1998,,CUB,DR7128CUB,,1998,00000000,00000000,,00000000,0
9174,DR6787,,CUB1997,,CUB,DR6787CUB,,1997,00000000,00000000,,00000000,0
9490,DR4792,,CUB1991,,CUB,DR4792CUB,,1991,00000000,00000000,,00000000,0
